ID,Title,Description,ISBN,ISBN13,PageCount,FirstAuthor,SecondAuthor,ThirdAuthor,Rating,NumberofRatings,NumberofReviews,Publisher,PublishDate,Format,Language,FileName
860,Courtney Love Autobiography,"Alternatively criticised and vilified, embraced and idolised, Courtney Love has been polarising opinion from the moment she stormed her way onto the music scene over 20 years ago. Yet everything we know about her has come from the media or her music; she has never before shared the whole story of her life. From her rocky relationship with her hippy parents and her days spent stripping to make ends meet to the truth behind her drug abuse and recovery, this is a riveting story, too crazy not to be true.",0230770614,9780230770614,400,Courtney Love, , ,0.00,0,0,Pan MacMillan,March 1st 2013,Hardcover, ,1763-17393498-courtney-love-autobiography.html
861,"I, Anastasia: An Autobiography", ,0855946806,9780855946807,272,Roland Krug von Nidda, , ,3.50,4,1, , , , ,1764-3550310-i-anastasia.html
862,Lar Corbett: Autobiography.,This is a controversial and revealing autobiography from one of hurling's greatest stars.,1848271468,9781848271463,292,Lar Corbett, , ,3.43,7,1,Transworld Ireland,October 1st 2012,Paperback, ,1765-16671017-lar-corbett.html
863,Bob Wilson: My Autobiography, ,1840328614,9781840328615,0,Bob   Wilson, , ,3.83,6,0,Hodder & Stoughton,October 13th 2003,Audio CD, ,1766-9663842-bob-wilson.html
864,My Life Story: An Autobiography, ,, ,260,Joe Louis, , ,4.33,3,0,Duel,1947,Hardcover,English,1767-16008098-my-life-story.html
865,Henry Cooper: An Autobiography,"British heavyweight boxer Henry Cooper nearly changed the course of boxing history. July 19th 1963 Cooper fought Cassius Clay. In the fourth round Cooper dumped clay on the canvas with his famous left hook, Henry's Hammer. Clearly in serious trouble Clay was saved by the bell.",034017854X,9780340178546,190,Henry Cooper, , ,4.33,6,1,Hodder,December 31st 1974,Paperback,English,1768-6016887-henry-cooper.html
866,Matters of Discretion: An Autobiography,"The first-ever autobiography written by an Indian prime minister. Only once in a lifetime comes a book that simply must be read! An absorbing, authentic and definitive account, by a former prime minister, of crucial events that had a significant impact on the nation’s destiny after independence. I K Gujral has penned his life story in a forthright and candid manner. He entered the political fray as a freedom fighter in the British era, and after the tumultuous events that rocked the Indian subcontinent in the wake of the partition in August 1947, crossed over from Pakistan to India, where he had to begin life from scratch. Despite facing tremendous odds, on the basis of his perseverance, resilience and never-say-die attitude, Gujral’s achievements allowed him to witness and shape India’s contemporary history. Gujral joined Congress Party and was first elected to the Rajya Sabha in 1964. He was the Information and Broadcasting Minister when emergency was imposed, which entailed arbitrary press censorship. Since he refused to bow down to the de facto powers, he was unceremoniously replaced and later sent by Indira Gandhi as India’s ambassador to the USSR, a post he handled with commendable tact and finesse. After his stint in Moscow, he returned to India and re-entered the ‘political whirlpool’ by joining the Janata Dal. He became minister for external affairs under V P Singh (1989) and Deve Gowda (1996). Gujral reached the pinnacle of his career when he became the prime minister on 1997. During his priministership, despite the exigencies and pressures of running a coalition government, he endeavoured to achieve progress in many spheres. The Gujral Doctrine (a set of five principles to guide the conduct of foreign relations with India’s immediate neighbours) was widely acclaimed in both India and the West. This volume, a valuable addition to the literature on contemporary history, provides a deep insight into the political scene as it unfolded after independence and delineates the roles played by a wide spectrum of politicians, bureaucrats, and many others.",, ,520,I.K. Gujral, , ,3.20,5,1,Hay House,February 1st 2011,Kindle Edition,English,1769-19666723-matters-of-discretion.html
867,Red Jacket: The Autobiography of Calista Antoine,"It’s 1892, the fourth and nastiest year of the Civil War. With war prices for some things going through the roof, there are some cargoes that are too tempting, tucked down in places too risky, and a ship captain has to weigh both if he wants to make a profit and stay afloat. Last I saw my parents, they were going to do the sugar run to Jamaica. Up in the cold North sugar cane simply doesn’t grow. You have to go where it’s warm and for us in the U.S., that means the Caribbean, which is unfortunately down next to the Confederate States of America and we have to sail right past Florida with its people doing their best to be unpleasant. I won’t kid you. It’s a dangerous run. Normally, they would have been back in port a week ago, but they’re overdue. Nothing to worry about yet – much.",1940995035,9781940995038,290,Mark Bondurant, , ,4.53,17,8,Bongo Books,August 29th 2014,Paperback,English,177-23123785-red-jacket.html
868,Life on two levels: An autobiography, ,0913232564,9780913232569,368,Josephine Whitney Duveneck, , ,3.75,4,0,W. Kaufmann,November 1st 1978,Unknown Binding, ,1770-3420218-life-on-two-levels.html
869,The Autobiography of a Schizophrenic man,"This book gives us the rare and meaningful insight that is not often to be found in the world of psychiatry and mental health, an area which even today a large proportion of society still associates with stigma and shame. The main reason the author chose to devote his time to this project was to help raise awareness about mental health, particularly in India. This book is invaluable in that it presents a patient’s perspective to the reader, shedding new light on the amount of suffering a mental illness such as schizophrenia can cause. The quality of mental health care in India, the social stigma arising from such an illness when described by someone who has firsthand personal experience makes a greater impact. One of the greatest successes of the author in writing this book is in the lucid way he presents his material. We, as the reader, are taken on a journey of the life of this man right from his earliest school days till present, we read and learn about the author as a young boy, a student, and as a young man when the first symptoms of his illness begin to manifest. We then follow the whole course of the authors’ struggle with his illness, his slow, then rapid decline, and then recovery. Throughout the entire course of the narrative the author does a brilliant job of explaining the thoughts, the experiences and the struggle he experienced as a victim of mental illness in such a way that the reader is unable to read without empathizing and question how it would feel if their own mind were to turn against them in such a way. The mental health care available in India is another pertinent question that this book raises , true we have come a long way from the days of asylums and isolations, with social acceptability slowly increasing and treatments now being much more effective and available , we still have a long way to go, to reach all those who are suffering. There is a dire need for increased awareness about mental health throughout India particularly in rural areas, an issue which needs to be taken up at the national level. Works like this help to forward the cause",, ,44,Lama Surya Das, , ,2.50,4,0, , ,Kindle Edition,English,1771-18847729-the-autobiography-of-a-schizophrenic-man.html
870,Starmaker: The Autobiography of Hal Wallis,"In this exciting memoir, told in conjunction with best-selling biographer Charles Higham, Wallis relates countless never-before-told stories about the great and powerful.",0026231700,9780026231701,240,"Hal B., Wallis", , ,3.33,6,1,MacMillan Publishing Company,January 1st 1980,Hardcover,English,1772-770706.Starmaker.html
